ip_supplier,family,id,2020Bug
HSIO-US,Dekel,1507921439,1
HSIO-US,Dekel,14010864363,1
HSIO-US,Dekel,14011591497,1
HSIO-US,Dekel,14011910816,1
HSIO-US,Dekel,14011911433,1
HSIO-US,Dekel,16010908764,1
HSIO-US,Dekel,16010945952,1
HSIO-US,Dekel,16010948604,1
HSIO-US,Dekel,16010963516,1
HSIO-US,Dekel,16011399601,1
HSIO-US,Dekel,22010249119,1
HSIO-US,Dekel,22010253397,1
HSIO-US,Dekel,22010296646,1
HSIO-US,Dekel,22010296821,1
HSIO-US,Dekel,22010296873,1
HSIO-US,Dekel,22010296921,1
HSIO-US,Dekel,22010362957,1
HSIO-US,Dekel,22010413691,1
HSIO-US,Dekel,22010682090,1
HSIO-US,Dekel,22010911684,1
HSIO-US,Dekel,22010911689,1
HSIO-US,Dekel,22011073005,1
HSIO-US,Dekel,22011142622,1
HSIO-US,HS SERDES,1307691117,1
HSIO-US,HS SERDES,1307813373,1
HSIO-US,HS SERDES,1307986360,1
HSIO-US,HS SERDES,1308152975,1
HSIO-US,HS SERDES,1507783072,1
HSIO-US,HS SERDES,14011324147,1
HSIO-US,HS SERDES,14011435205,1
HSIO-US,HS SERDES,14012166935,1
HSIO-US,HS SERDES,14012732642,1
HSIO-US,HS SERDES,16010689655,1
HSIO-US,HS SERDES,16010771082,1
HSIO-US,HS SERDES,16010785752,1
HSIO-US,HS SERDES,16010838394,1
HSIO-US,HS SERDES,16010857898,1
HSIO-US,HS SERDES,16011068190,1
HSIO-US,HS SERDES,16011099264,1
HSIO-US,HS SERDES,16011139035,1
HSIO-US,HS SERDES,16011920431,1
HSIO-US,HS SERDES,16012238555,1
HSIO-US,HS SERDES,22010714196,1
HSIO-US,HS SERDES,22010754845,1
HSIO-US,HS SERDES,22010937888,1
HSIO-US,HS SERDES,22011164515,1
HSIO-US,HS SERDES,22011169426,1
HSIO-US,HS SERDES,22011169437,1
HSIO-US,HS SERDES,22011226975,1
HSIO-US,HS SERDES,22011312219,1
HSIO-US,HS SERDES,22011523116,1
HSIO-US,HS SERDES,22011572381,1
HSIO-US,HS SERDES,22011583443,1
HSIO-US,HS SERDES,22011700341,1
HSIO-US,HSIO HP Gen4 Mount Langley,1508282491,1
HSIO-US,MMP,1507894958,1
HSSIO COE,Flexi-IO Adapter,1508141821,1
HSSIO COE,HSIO MP-PHY Wrapper,14013070362,1
HSSIO COE,OPI,1507884214,1
HSSIO COE,PXP Controller,1307264548,1
HSSIO COE,PXP Controller,1307454816,1
HSSIO COE,PXP Controller,1307846537,1
HSSIO COE,PXP Controller,1307883271,1
HSSIO COE,PXP Controller,1307928016,1
HSSIO COE,PXP Controller,1308029413,1
HSSIO COE,PXP Controller,1507726045,1
HSSIO COE,PXP Controller,1507816908,1
HSSIO COE,PXP Controller,1507865189,1
HSSIO COE,PXP Controller,1507926194,1
HSSIO COE,PXP Controller,1508126481,1
HSSIO COE,PXP Controller,1508155444,1
HSSIO COE,PXP Controller,1508242278,1
HSSIO COE,PXP Controller,1508270318,1
HSSIO COE,PXP Controller,1508280487,1
HSSIO COE,PXP Controller,1508295460,1
HSSIO COE,PXP Controller,1508332021,1
HSSIO COE,PXP Controller,1508339065,1
HSSIO COE,PXP Controller,1508465406,1
HSSIO COE,PXP Controller,14010983559,1
HSSIO COE,PXP Controller,14011013734,1
HSSIO COE,PXP Controller,14011015167,1
HSSIO COE,PXP Controller,14011800544,1
HSSIO COE,PXP Controller,14011829702,1
HSSIO COE,PXP Controller,14012515663,1
HSSIO COE,PXP Controller,14013018915,1
HSSIO COE,PXP Controller,16010743504,1
HSSIO COE,PXP Controller,16010770560,1
HSSIO COE,PXP Controller,16010821348,1
HSSIO COE,PXP Controller,16010948270,1
HSSIO COE,PXP Controller,16011068689,1
HSSIO COE,PXP Controller,16011288879,1
HSSIO COE,PXP Controller,16011487882,1
HSSIO COE,PXP Controller,16011892195,1
HSSIO COE,PXP Controller,22010179677,1
HSSIO COE,PXP Controller,22010675708,1
HSSIO COE,PXP Controller,22011330516,1
HSSIO COE,PXP Controller,22011714845,1
HSSIO COE,PXP Controller,22011799243,1
LPSS COE,LPSS,1508602077,1
LPSS COE,LPSS,16012243108,1
LPSS COE,LPSS,22011765956,1
LPSS COE,LPSS,22011790795,1
